source,target
0,1
0,2
0,3
0,4
0,6
0,9
0,11
0,12
0,14
0,18
0,22
0,25
0,29
0,39
0,45
0,51
0,60
0,81
0,83
0,93
0,95
1,4
1,12
1,41
1,79
2,5
2,7
2,10
2,14
2,20
2,47
2,48
3,4
3,5
3,6
3,8
3,9
3,14
3,15
3,16
3,22
3,28
3,30
3,39
3,42
3,43
3,47
3,49
3,61
3,68
3,71
3,73
3,80
3,96
4,5
4,6
4,8
4,10
4,15
4,36
4,37
4,38
4,67
4,78
4,92
4,95
5,7
5,8
5,18
5,21
5,23
5,24
5,37
5,42
5,54
5,63
6,7
6,9
6,11
6,19
6,22
6,23
6,30
6,32
6,35
6,36
6,38
6,40
6,47
6,55
6,58
6,60
6,68
6,78
6,83
6,84
6,87
6,90
7,10
7,13
7,15
7,17
7,19
7,20
7,25
7,27
7,28
7,40
7,52
7,58
7,74
7,83
7,89
8,11
8,20
8,33
8,63
8,76
8,86
9,12
9,16
9,19
9,29
9,35
9,56
9,57
9,62
9,77
9,95
10,13
10,17
10,23
10,24
10,26
10,29
10,41
10,44
10,51
10,53
10,61
10,64
10,65
10,67
10,75
10,94
10,98
11,21
11,59
11,98
12,13
12,16
12,30
12,38
12,45
12,46
12,50
12,56
12,61
12,73
12,96
13,18
13,26
13,27
13,31
13,44
13,73
13,80
13,98
13,99
14,32
14,49
14,75
15,82
15,89
16,17
16,25
16,33
16,71
18,46
18,48
18,50
18,52
19,21
19,28
19,31
19,35
19,43
19,46
19,53
19,57
19,70
19,82
21,27
21,54
21,66
22,24
22,37
22,50
23,34
23,44
23,90
24,26
24,31
24,58
24,81
24,91
25,52
25,64
25,71
26,34
26,77
26,99
27,36
27,39
28,32
28,33
28,34
28,60
28,69
28,88
29,54
30,55
30,67
30,86
31,42
32,40
33,87
34,48
34,72
35,41
35,43
35,64
35,78
36,45
36,59
36,66
36,68
36,82
37,51
37,74
38,79
38,85
42,59
43,69
43,72
43,76
43,88
44,63
44,75
44,97
45,70
46,53
46,57
46,62
47,65
47,80
47,97
48,49
49,56
49,76
49,77
49,85
49,91
49,92
50,62
50,87
51,55
55,74
59,65
60,72
60,89
61,97
63,90
63,93
64,66
64,96
65,99
67,69
67,84
67,85
68,70
69,81
69,93
72,79
73,91
73,94
82,88
83,84
84,86
87,92
87,94
