agent_id,initial_state,is_influential,prob_share,prob_skeptic,prob_educate,prob_convince
0,BELIEVE,False,0.0752,0.1947,0.0205,0.013
1,SUSCEPTIBLE,True,0.0474,0.1499,0.0415,0.0181
2,SUSCEPTIBLE,False,0.0793,0.0757,0.0158,0.0087
3,BELIEVE,False,0.0647,0.0662,0.0473,0.0166
4,SUSCEPTIBLE,False,0.0278,0.1493,0.0154,0.0057
5,SUSCEPTIBLE,False,0.0489,0.1104,0.0106,0.0151
6,BELIEVE,False,0.0635,0.1535,0.0468,0.0174
7,BELIEVE,False,0.083,0.09,0.0176,0.0105
8,SUSCEPTIBLE,False,0.0248,0.1566,0.0358,0.0124
9,SUSCEPTIBLE,False,0.0212,0.0506,0.0289,0.0076
10,BELIEVE,True,0.0719,0.1605,0.0113,0.0075
11,SUSCEPTIBLE,False,0.0616,0.069,0.0279,0.0076
12,SUSCEPTIBLE,False,0.0424,0.1321,0.0487,0.0196
13,SUSCEPTIBLE,False,0.0333,0.08,0.0214,0.0068
14,SUSCEPTIBLE,False,0.0414,0.1147,0.0433,0.0149
15,SUSCEPTIBLE,False,0.0462,0.0503,0.0294,0.0052
16,SUSCEPTIBLE,False,0.0242,0.0612,0.0239,0.0139
17,SUSCEPTIBLE,False,0.0541,0.1008,0.0134,0.0051
18,SUSCEPTIBLE,False,0.0705,0.176,0.0459,0.0061
19,SUSCEPTIBLE,False,0.0392,0.0588,0.0196,0.0083
20,SUSCEPTIBLE,False,0.0764,0.1993,0.0427,0.0157
21,SUSCEPTIBLE,False,0.0554,0.1993,0.0346,0.0197
22,SUSCEPTIBLE,False,0.0792,0.1785,0.0429,0.0082
23,SUSCEPTIBLE,False,0.0465,0.0558,0.0412,0.0117
24,SUSCEPTIBLE,False,0.0252,0.0696,0.0448,0.0093
25,SUSCEPTIBLE,False,0.0211,0.0809,0.0489,0.0087
26,SUSCEPTIBLE,False,0.0338,0.0849,0.0227,0.0086
27,SUSCEPTIBLE,False,0.0269,0.0741,0.0117,0.0125
28,SUSCEPTIBLE,False,0.0642,0.0761,0.0408,0.0084
29,SUSCEPTIBLE,False,0.0836,0.1245,0.0278,0.0166
30,SUSCEPTIBLE,False,0.0576,0.1528,0.0497,0.0085
31,SUSCEPTIBLE,False,0.0243,0.1833,0.0117,0.006
32,SUSCEPTIBLE,False,0.1,0.1443,0.0334,0.0063
33,SUSCEPTIBLE,False,0.0252,0.0549,0.0115,0.0124
34,SUSCEPTIBLE,False,0.0889,0.1387,0.0289,0.0196
35,SUSCEPTIBLE,False,0.049,0.0796,0.0449,0.0137
36,SUSCEPTIBLE,True,0.0364,0.1887,0.0165,0.0073
37,SUSCEPTIBLE,False,0.0336,0.1211,0.012,0.0199
38,SUSCEPTIBLE,False,0.0987,0.0709,0.0217,0.0179
39,SUSCEPTIBLE,False,0.0398,0.151,0.0336,0.0114
40,SUSCEPTIBLE,False,0.0251,0.1372,0.0405,0.0069
41,SUSCEPTIBLE,False,0.0568,0.1449,0.0372,0.0141
42,SUSCEPTIBLE,False,0.033,0.0696,0.0465,0.0147
43,SUSCEPTIBLE,False,0.0275,0.1267,0.0131,0.0172
