source,target
0,1
0,2
0,3
0,4
0,6
0,10
0,11
0,13
0,14
0,15
0,17
0,23
0,24
0,26
0,29
0,33
0,42
0,51
0,57
0,62
0,68
0,72
0,76
0,83
1,4
1,5
1,6
1,7
1,8
1,11
1,12
1,14
1,18
1,21
1,26
1,35
1,39
1,40
1,46
1,53
1,58
1,59
1,61
1,72
1,73
1,74
1,81
1,89
1,90
3,4
3,5
3,6
3,12
3,13
3,18
3,22
3,27
3,31
3,39
3,45
3,48
3,66
3,84
3,92
3,94
4,5
4,8
4,9
4,11
4,19
4,26
4,27
4,34
4,35
4,36
4,41
4,42
4,43
4,44
4,52
4,70
4,75
4,76
4,89
4,91
4,92
4,95
5,7
5,19
5,21
5,22
5,25
5,33
5,34
5,44
5,64
5,71
5,86
6,7
6,8
6,9
6,10
6,12
6,13
6,14
6,16
6,17
6,24
6,29
6,31
6,36
6,40
6,60
6,62
6,65
7,9
7,17
7,21
7,23
7,25
7,27
7,28
7,29
7,40
7,44
7,78
8,10
8,15
8,38
8,50
8,93
8,94
9,43
9,47
9,48
9,57
9,61
9,68
10,15
10,20
10,32
10,58
10,98
11,16
11,18
11,20
11,30
11,36
11,37
11,38
11,39
11,41
11,54
11,56
11,60
11,64
11,67
11,71
11,75
11,88
12,33
12,78
14,24
14,37
14,50
14,56
14,78
14,85
14,97
15,16
15,42
15,68
16,20
16,23
16,28
16,34
16,74
16,77
16,79
17,19
17,52
17,75
17,82
18,54
18,58
18,63
19,22
19,25
19,32
19,70
19,85
19,87
20,28
20,35
20,49
20,51
20,93
20,98
22,30
22,45
22,59
22,88
23,55
24,46
24,49
24,50
24,54
24,64
24,73
25,61
26,30
26,32
26,38
26,65
26,66
26,76
26,99
27,48
28,60
28,69
28,96
29,63
30,31
30,37
30,51
30,73
30,79
30,80
30,87
32,55
33,43
33,47
33,55
33,59
33,67
33,69
33,85
34,88
35,46
35,49
35,53
35,84
35,91
35,95
36,45
36,67
36,69
36,83
37,83
38,82
39,41
40,79
40,97
41,96
42,80
43,52
43,53
45,47
45,77
45,84
47,82
47,86
48,93
49,56
50,97
51,92
52,91
53,66
54,57
55,62
57,77
58,63
58,99
59,86
60,70
61,80
62,98
64,65
65,72
65,74
67,71
70,89
71,95
72,81
72,94
73,81
81,87
81,99
85,90
86,90
92,96
